Column2,Column3,Column4,Column5,Column6,Column7,Column8
2010-03-20,18,26,27,48,51,53
2010-03-21,6,15,25,27,30,37
2010-03-24,14,17,21,31,38,46
2010-03-27,15,18,37,39,44,52
2010-03-28,2,8,24,31,33,50
2010-03-30,16,26,27,39,40,46
2010-03-31,16,19,28,36,47,54
2010-04-03,11,21,25,39,43,49
2010-04-04,1,22,23,48,49,57
2010-04-06,10,12,36,40,45,47
2010-04-07,2,6,36,38,49,50
2010-04-10,19,22,34,41,48,52
2010-04-11,1,21,29,30,35,46
2010-04-14,3,9,28,33,37,54
2010-04-17,13,14,18,29,30,49
2010-04-18,7,12,18,31,41,49
2010-04-21,10,11,22,29,36,51
2010-04-24,2,3,25,26,29,52
2010-04-25,10,13,18,31,50,53
2010-04-27,1,9,12,27,45,50
2010-04-28,2,20,21,22,31,34
2010-05-01,7,19,22,25,44,49
2010-05-02,5,23,26,27,43,49
2010-05-04,13,18,22,40,48,55
2010-05-05,30,33,39,41,43,54
2010-05-08,6,30,46,48,56,58
2010-05-09,8,10,15,21,31,32
2010-05-12,17,39,43,44,50,54
2010-05-15,1,13,17,21,37,58
2010-05-16,11,28,30,37,39,58
2010-05-19,1,14,20,42,48,49
2010-05-22,5,7,10,11,13,27
2010-05-23,12,16,42,43,48,49
2010-05-26,10,27,30,36,38,40
2010-05-29,8,14,29,41,43,57
2010-05-30,14,26,27,40,41,50
2010-06-01,5,21,22,24,27,32
2010-06-02,1,16,21,41,49,51
2010-06-05,4,17,23,34,41,43
2010-06-06,2,18,39,45,46,55
2010-06-09,5,11,29,32,47,58
2010-06-12,3,4,21,26,54,58
2010-06-13,6,7,47,50,52,53
2010-06-16,14,25,39,42,47,50
2010-06-19,6,12,15,18,25,58
2010-06-20,8,22,32,43,45,51
2010-06-23,5,6,22,50,52,55
2010-06-26,6,10,20,29,41,54
2010-06-27,6,18,19,41,45,47
2010-06-29,13,19,30,35,38,58
2010-06-30,19,20,31,33,47,58
